,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2018,7,Bangsan-Myeon,,,
2018,7,Geumchon-Dong,12.0,80.0,48.29032258064516
2018,7,Gwanak-Gu,15.0,90.0,53.83870967741935
2018,7,Jeongnim-Dong,11.0,114.0,42.064516129032256
2018,7,Jungang-Way,9.0,111.0,53.45161290322581
2018,7,Juwol-Dong,23.0,93.0,46.935483870967744
2018,7,Nowon-Gu,19.0,94.0,58.70967741935484
2018,7,Pado-Ri,21.0,76.0,49.689655172413794
2018,7,Paju,15.0,65.0,40.16129032258065
2018,7,Sangjusi,9.0,93.0,45.63333333333333
2018,7,Seolseong-Myeon,12.0,119.0,61.67741935483871
2018,7,Seonggeoeup,9.0,93.0,49.096774193548384
2018,8,Bangsan-Myeon,,,
2018,8,Geumchon-Dong,13.0,100.0,47.774193548387096
2018,8,Gwanak-Gu,22.0,87.0,50.645161290322584
2018,8,Jeongnim-Dong,13.0,67.0,39.29032258064516
2018,8,Jungang-Way,14.0,79.0,43.41935483870968
2018,8,Juwol-Dong,19.0,74.0,41.67741935483871
2018,8,Nowon-Gu,14.0,95.0,44.806451612903224
2018,8,Pado-Ri,18.0,84.0,53.310344827586206
2018,8,Paju,10.0,85.0,40.54838709677419
2018,8,Sangjusi,15.0,80.0,44.0
2018,8,Seolseong-Myeon,32.0,79.0,55.806451612903224
2018,8,Seonggeoeup,17.0,75.0,49.19230769230769
2018,9,Bangsan-Myeon,,,
2018,9,Geumchon-Dong,16.0,77.0,45.67857142857143
2018,9,Gwanak-Gu,25.0,96.0,48.0
2018,9,Jeongnim-Dong,16.0,63.0,30.571428571428573
2018,9,Jungang-Way,13.0,70.0,35.43333333333333
2018,9,Juwol-Dong,31.0,100.0,51.56666666666667
2018,9,Nowon-Gu,16.0,67.0,36.06666666666667
2018,9,Pado-Ri,24.0,72.0,42.06666666666667
2018,9,Paju,20.0,68.0,40.833333333333336
2018,9,Sangjusi,33.0,84.0,50.8
2018,9,Seolseong-Myeon,14.0,90.0,54.3
2018,9,Seonggeoeup,19.0,69.0,41.53333333333333
2018,10,Bangsan-Myeon,47.0,90.0,66.42857142857143
2018,10,Geumchon-Dong,21.0,129.0,66.54838709677419
2018,10,Gwanak-Gu,16.0,122.0,63.38709677419355
2018,10,Jeongnim-Dong,18.0,113.0,50.38709677419355
2018,10,Jungang-Way,9.0,90.0,51.096774193548384
2018,10,Juwol-Dong,38.0,140.0,69.06451612903226
2018,10,Nowon-Gu,10.0,88.0,50.354838709677416
