,,, no2, no2, no2
,,,min,max,mean
date,date,City,,,
2017,11,Bangsan-Myeon,1.0,10.0,4.4
2017,11,Geumchon-Dong,12.0,53.0,26.266666666666666
2017,11,Gwanak-Gu,12.0,61.0,32.7
2017,11,Jeongnim-Dong,14.0,33.0,21.133333333333333
2017,11,Jungang-Way,9.0,34.0,20.566666666666666
2017,11,Juwol-Dong,12.0,51.0,30.233333333333334
2017,11,Nowon-Gu,11.0,64.0,31.333333333333332
2017,11,Paju,2.0,23.0,7.1
2017,11,Seolseong-Myeon,5.0,23.0,14.266666666666667
2017,12,Bangsan-Myeon,3.0,11.0,5.516129032258065
2017,12,Geumchon-Dong,12.0,57.0,29.774193548387096
2017,12,Gwanak-Gu,15.0,51.0,32.17391304347826
2017,12,Jeongnim-Dong,11.0,42.0,22.193548387096776
2017,12,Jungang-Way,3.0,42.0,22.612903225806452
2017,12,Juwol-Dong,11.0,51.0,29.258064516129032
2017,12,Nowon-Gu,9.0,65.0,33.193548387096776
2017,12,Pado-Ri,2.0,13.0,5.625
2017,12,Paju,1.0,27.0,10.96774193548387
2017,12,Seolseong-Myeon,6.0,34.0,16.0
2018,1,Bangsan-Myeon,3.0,13.0,5.806451612903226
2018,1,Geumchon-Dong,13.0,40.0,26.838709677419356
2018,1,Gwanak-Gu,16.0,77.0,35.516129032258064
2018,1,Jeongnim-Dong,13.0,38.0,24.322580645161292
2018,1,Jungang-Way,7.0,41.0,23.64516129032258
2018,1,Juwol-Dong,13.0,58.0,28.93548387096774
2018,1,Nowon-Gu,10.0,67.0,31.096774193548388
2018,1,Pado-Ri,1.0,46.0,7.225806451612903
2018,1,Paju,1.0,21.0,7.064516129032258
2018,1,Seolseong-Myeon,7.0,31.0,18.64516129032258
2018,2,Bangsan-Myeon,2.0,12.0,4.571428571428571
2018,2,Geumchon-Dong,11.0,63.0,24.785714285714285
2018,2,Gwanak-Gu,16.0,77.0,34.17857142857143
2018,2,Jeongnim-Dong,10.0,41.0,21.964285714285715
2018,2,Jungang-Way,3.0,40.0,16.357142857142858
2018,2,Juwol-Dong,11.0,65.0,27.535714285714285
2018,2,Nowon-Gu,10.0,79.0,28.321428571428573
2018,2,Pado-Ri,1.0,22.0,5.666666666666667
2018,2,Paju,1.0,24.0,5.607142857142857
2018,2,Sangjusi,4.0,21.0,15.4
2018,2,Seolseong-Myeon,5.0,37.0,13.821428571428571
2018,2,Seonggeoeup,13.0,45.0,26.6
2018,3,Bangsan-Myeon,1.0,11.0,4.666666666666667
2018,3,Geumchon-Dong,9.0,40.0,22.35483870967742
2018,3,Gwanak-Gu,13.0,71.0,33.903225806451616
2018,3,Jeongnim-Dong,7.0,26.0,17.258064516129032
